"Imigranti dupa nationalitate, 1993-2018"
"Nationalitatea imigrantilor;""1993"";""1994"";""1995"";""1996"";""1997"";""1998"";""1999"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"""
Ingus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;2
Iordanez;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;4;9;5;7;-;5
Iranian;-;-;1;2;4;2;1;-;-;-;-;1;6;2;2;1;4;1;1;2;3;3;1;3;1;1
Iraq;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;7;13;8;3;3;3
Irlandez;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;4;2;4;1;1;5
Italian;1;-;6;3;1;3;9;23;14;23;20;44;41;50;84;97;90;80;126;131;118;203;179;168;139;131
Kazah;3;3;3;2;3;-;-;-;10;-;7;3;9;5;3;9;7;10;14;5;13;11;17;35;22;21
Khmer;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kinh;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kirghiz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;13;15;14;22;10;13;20
Komi;1;-;2;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
Kongolez;4;2;1;-;-;-;-;-;-;2;1;4;-;-;-;-;-;1;2;-;-;-;-;1;-;-
Laket;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Leton;6;2;5;-;2;3;-;-;-;-;3;-;-;1;2;2;7;3;3;4;9;13;4;2;3;6
Lezghin;1;1;-;1;1;2;-;-;1;-;1;1;-;1;1;3;1;-;-;-;1;-;1;-;-;-
Libanez;3;1;1;1;4;6;13;9;5;7;19;15;8;22;7;7;3;3;10;5;13;18;21;9;14;6
Liberian;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-
Lituanian;5;5;3;1;1;-;4;4;-;-;1;5;3;-;3;4;6;6;10;6;9;10;9;9;8;13
Macedonian;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;4;2;4;6;1;1
Malagasian;-;2;1;1;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-
Malagasu;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
Mali;4;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;1
Mari;2;-;3;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1
Marocan;3;2;1;7;8;2;3;2;-;3;-;3;7;2;-;1;-;3;1;-;-;-;1;-;-;1
Mauritanian;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-
Mexican;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;1;4;2
Moldovean;68;61;65;154;82;188;103;80;106;87;162;125;145;121;87;115;93;51;25;20;21;37;50;33;26;25
Mordvin;3;1;-;-;2;2;-;1;-;-;-;-;-;-;1;1;-;1;-;-;2;-;-;-;-;-
Nepalez;1;2;1;-;-;-;-;-;-;1;4;3;-;1;-;1;-;-;-;-;3;2;-;1;-;4
Nicaraguan;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nigerian;10;10;2;1;4;1;-;5;10;3;1;6;5;3;-;2;7;14;25;10;6;2;2;6;4;4
Norvegian;-;-;1;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;2;10;2;6;10;4;4;2
Nou Zelandez;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Olandez;-;-;-;-;-;-;-;2;1;-;-;5;2;4;12;8;8;6;15;17;8;5;15;9;10;6
Osetin;2;2;2;2;4;1;-;-;-;-;1;1;-;-;-;1;1;-;-;-;1;-;1;1;1;-
Pakistanez;8;7;5;1;5;3;1;1;1;1;5;1;2;3;3;2;1;4;8;2;6;15;5;12;1;6
Palestinian;3;1;1;2;1;1;-;-;2;2;1;-;1;-;-;-;-;2;-;-;-;-;1;-;-;-
Panamez;1;-;-;-;-;-;-;-;2;10;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-
Persian;3;2;1;3;3;-;3;2;1;2;3;18;7;-;-;-;-;1;2;-;-;-;-;1;-;-
Polonez;1;3;3;4;5;1;7;-;17;2;6;2;10;13;14;21;21;25;39;32;21;28;23;33;18;20
Portugalia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;41;4;6;12;23;7;10
Pustun;2;2;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Roman;69;57;76;187;170;220;174;123;118;70;90;88;143;182;203;372;198;308;368;457;600;856;643;461;434;448
Rongolez;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
Rus;474;404;418;398;322;220;143;95;95;97;145;168;188;215;278;323;257;307;258;321;344;532;580;712;683;687
Scotian;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-
Senegalez;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-
Serb;-;-;-;4;-;2;5;6;1;4;3;6;3;2;3;6;8;10;8;11;13;21;11;5;15;9
