"Imigranti dupa tara de emigrare si scopul sosirii , 1993-2010"
"Tara de emigrare;""1993 Total"";""1993 La munca"";""1993 La studii"";""1993 Imigratie de familie"";""1994 Total"";""1994 La munca"";""1994 La studii"";""1994 Imigratie de familie"";""1995 Total"";""1995 La munca"";""1995 La studii"";""1995 Imigratie de familie"";""1996 Total"";""1996 La munca"";""1996 La studii"";""1996 Imigratie de familie"";""1997 Total"";""1997 La munca"";""1997 La studii"";""1997 Imigratie de familie"";""1998 Total"";""1998 La munca"";""1998 La studii"";""1998 Imigratie de familie"";""1999 Total"";""1999 La munca"";""1999 La studii"";""1999 Imigratie de familie"";""2000 Total"";""2000 La munca"";""2000 La studii"";""2000 Imigratie de familie"";""2001 Total"";""2001 La munca"";""2001 La studii"";""2001 Imigratie de familie"";""2002 Total"";""2002 La munca"";""2002 La studii"";""2002 Imigratie de familie"";""2003 Total"";""2003 La munca"";""2003 La studii"";""2003 Imigratie de familie"";""2004 Total"";""2004 La munca"";""2004 La studii"";""2004 Imigratie de familie"";""2005 Total"";""2005 La munca"";""2005 La studii"";""2005 Imigratie de familie"";""2006 Total"";""2006 La munca"";""2006 La studii"";""2006 Imigratie de familie"";""2007 Total"";""2007 La munca"";""2007 La studii"";""2007 Imigratie de familie"";""2008 Total"";""2008 La munca"";""2008 La studii"";""2008 Imigratie de familie"";""2009 Total"";""2009 La munca"";""2009 La studii"";""2009 Imigratie de familie"";""2010 Total"";""2010 La munca"";""2010 La studii"";""2010 Imigratie de familie"""
Camboja;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Camerun;3;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;1;1;-;-;3;2;1;-;8;3;5;-
Canada;-;-;-;-;1;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;2;-;1;2;-;1;1;-;-;-;-;2;1;1;-;3;2;-;1;3;2;-;1;4;4;-;-;4;1;2;1;4;1;1;2;1;-;-;1
Cehia;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;10;10;-;-;7;7;-;-;3;3;-;-;3;-;1;2;-;-;-;-;2;1;-;1;1;-;-;1;6;1;-;5
China;12;-;-;-;4;-;-;-;-;-;-;-;10;-;-;-;13;-;-;-;14;-;-;-;17;8;7;2;17;7;8;2;23;7;11;5;23;11;6;6;8;4;2;2;13;8;4;1;13;7;3;3;23;15;5;3;13;6;3;4;16;11;5;-;8;3;3;2;23;20;-;3
Chile;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cipru;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;28;-;-;-;1;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;2;2;-;-;6;2;1;3;5;2;1;2;5;5;-;-;-;-;-;-;4;2;-;2;4;4;-;-;6;5;-;1;4;4;-;-
Columbia;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;1;-;2;-;-;-;-;1;-;-;1;-;-;-;-
Congo;4;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;2;1;-;1;-;15;-;15;-;9;-;9;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-
Coreea de Nord;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;2;-;2;-
Coreea de Sud;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;1;1;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;3;3;-;-;2;2;-;-;3;1;-;2;2;2;-;-;1;-;1;-;1;-;-;1
Cote D'Ivoire;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Croatia;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;2;2;-;-;2;1;-;1;2;2;-;-;-;-;-;-;1;1;-;-;2;2;-;-;-;-;-;-
Cuba;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Danemarca;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;2;2;-;-;-;-;-;-;2;-;-;2;2;1;-;1;4;3;-;1;1;-;-;1;1;-;-;1;-;-;-;-;4;2;1;1;8;7;1;-
EAU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4;-;5;-;4;1;3;-;3;-;3;-;1;2;10;-;8;2;1;-;1;-;-;-;-;-;2;1;-;1;1;1;-;-;2;-;2;-;-;-;-;-;2;2;-;-
Ecuador;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Egipt;18;-;-;-;14;-;-;-;6;-;-;-;16;-;-;-;4;-;-;-;3;-;-;-;6;3;1;2;10;4;5;1;5;4;1;-;5;1;3;1;5;3;1;1;3;1;1;1;5;3;-;2;5;3;-;2;4;2;-;2;6;1;-;5;-;-;-;-;3;2;-;1
Elvetia;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;2;-;1;-;-;-;-;2;1;-;1;-;-;-;-;3;2;-;1;-;-;-;-;5;3;-;2;2;1;-;1;6;4;-;2;9;3;3;3;1;1;-;-;2;2;-;-
Estonia;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2;1;-;1;4;3;-;1;3;-;-;3;1;-;-;1;1;-;-;1;2;-;2;-;9;4;2;3;6;2;3;1
Etiopia;4;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
Filipine;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;1;-;-;1;2;2;-;-;-;-;-;-;1;1;-;-;1;1;-;-;1;1;-;-;-;-;-;-;4;4;-;-;2;2;-;-
Finlanda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;9;9;-;-;4;1;3;-
Franta;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;12;-;-;-;7;7;-;-;6;5;1;-;3;1;-;2;2;1;-;1;9;7;1;1;14;13;-;1;13;10;-;3;20;19;-;1;20;18;-;2;32;17;6;9;29;13;10;6;32;10;19;3
Georgia;13;-;-;-;21;-;-;-;17;-;-;-;10;-;-;-;8;-;-;-;6;-;-;-;6;-;-;6;6;2;1;3;4;-;-;4;8;-;-;8;13;7;1;5;9;2;-;7;15;8;-;7;10;5;1;4;16;5;3;8;23;9;1;13;16;8;-;8;28;9;-;19
Germania;-;-;-;-;-;-;-;-;4;-;-;-;2;-;-;-;5;-;-;-;3;-;-;-;10;2;3;5;9;5;-;4;12;11;1;-;7;5;1;1;17;13;2;2;16;8;2;6;16;11;1;4;18;13;4;1;19;14;1;4;53;34;11;8;35;16;14;5;51;20;24;7
Ghana;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;-;4;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;2;1;1;-;7;7;-;-;-;-;-;-;1;1;-;-;5;3;2;-
